id,title,author,available,isbn13,price,format,publisher,pubdate,subjects,pages,overview
137,The American Transcendentalists: Essential Writings,Lawrence Buell,1,9780812975093,$11.75,Paperback,Random House Publishing Group,January 2006,American Literature Anthologies,640," Transcendentalism was the first major intellectual movement in U.S. history, championing the inherent divinity of each individual, as well as the value of collective social action. In the mid-nineteenth century, the movement took off, changing how Americans thought about religion, literature, the natural world, class distinctions, the role of women, and the existence of slavery.<br>
Edited by the eminent scholar Lawrence Buell, this comprehensive anthology contains the essential writings of Ralph Waldo Emerson, Henry David Thoreau, Margaret Fuller, and their fellow visionaries. There are also reflections on the movement by Charles Dickens, Henry James, Walt Whitman, Louisa May Alcott, and Nathaniel Hawthorne. This remarkable volume introduces the radical innovations of a brilliant group of thinkers whose impact on religious thought, social reform, philosophy, and literature continues to reverberate in the twenty-first century.</p>"
138,Finding Freedom: Writings from Death Row,Jarvis Jay Masters,1,9781881847083,$11.23,Paperback,Padma Publishing,September 1997,"Literary Criticism, American",179,
139,The Best American Short Stories 2004,Lorrie Moore,1,9780618197354,$28.95,Paperback,Houghton Mifflin Harcourt,October 2004,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",498," Since its inception in 1915, the Best American series has become the premier annual showcase for the country's finest short fiction and nonfiction. For each volume, a series editor reads pieces from hundreds of periodicals, then selects between fifty and a hundred outstanding works. That selection is pared down to twenty or so very best pieces by a guest editor who is widely recognized as a leading writer in his or her field. This unique system has helped make the Best American series the most respected—and most popular—of its kind.<br>
 Lorrie Moore brings her keen eye for wit and surprise to the volume, and The Best American Short Stories 2004 is an eclectic and enthralling gathering of well-known voices and talented up-and-comers. Here are stories that probe the biggest issues: ambition, gender, romance, war. Here are funny and touching and striking tales of a Spokane Indian, the estranged wife of an Iranian immigrant, an American tutor in Bombay. In her introduction Lorrie Moore writes, ""The stories collected here impressed me with their depth of knowledge and feeling of character, setting, and situation . . . They spoke with amused intelligence, compassion, and dispassion.""</p>"
140,New York Stories: The Best of the City Section of the New York Times,Constance Rosenblum,1,9780814775721,$11.95,Paperback,New York University Press,May 2005,"Americans - Regional Biography, Essays, American Literature Anthologies, United States Studies, General & Miscellaneous Literature Anthologies, Mapped Categories - Literature",303,"""There are eight million stories in the Naked City."" This famous line from the 1948 film <i>The Naked City</i> has become an emblem of New York City itself. One publication cultivating many of New York City's greatest stories is the City section in <i>The New York Times</i>. Each Sunday, this section of <i>The New York Times</i>, distributed only in papers in the five boroughs, captivates readers with tales of people and places that make the city unique.
 Featuring a cast of stellar writers—Phillip Lopate, Vivian Gornick, Thomas Beller and Laura Shaine Cunningham, among others—<i>New York Stories</i> brings some of the best essays from the City section to readers around the country. New Yorkers can learn something new about their city, while other readers will enjoy the flavor of the Big Apple. <i>New York Stories</i> profiles people like sixteen-year-old Barbara Ott, who surfs the waters off Rockaway in Queens, and Sonny Payne, the beloved panhandler of the F train. Other essays explore memorable places in the city, from the Greenwich Village townhouse blown up by radical activists in the 1970s to a basketball court that serves as the heart of its Downtown neighborhood.</p>
 The forty essays collected in <i>New York Stories</i> reflect an intimate understanding of the city, one that goes beyond the headlines. The result is a passionate, well-written portrait of a legendary and ever-evolving place.</p>"
141,Black Voices: An Anthology of African-American Literature,Various,1,9780451527820,$8.07,Mass Market Paperback,Penguin Group (USA),April 2001,Peoples & Cultures - American Anthologies,720," Featuring poetry, fiction, autobiography and literary criticism, this is a comprehensive and vital collection featuring the work of the major black voices of a century. An unparalleled important classic anthology with timeless appeal...</p>"
142,Bordering Fires: The Vintage Book of Contemporary Mexican and Chicano/a Literature,Cristina Garcia,1,9781400077182,$13.95,Paperback,Knopf Doubleday Publishing Group,October 2006,"Peoples & Cultures - American Anthologies, Hispanic & Latin American Literature Anthologies",304," As the descendants of Mexican immigrants have settled throughout the United States, a great literature has emerged, but its correspondances with the literature of Mexico have gone largely unobserved. In <i>Bordering Fires</i>, the first anthology to combine writing from both sides of the Mexican-U.S. border, Cristina Garc’a presents a richly diverse cross-cultural conversation. Beginning with Mexican masters such as Alfonso Reyes and Juan Rulfo, Garc’a highlights historic voices such as “the godfather of Chicano literature” Rudolfo Anaya, and Gloria Anzaldœa, who made a powerful case for language that reflects bicultural experience. From the fierce evocations of Chicano reality in Jimmy Santiago Baca’s Poem IX to the breathtaking images of identity in Coral Bracho’s poem “Fish of Fleeting Skin,” from the work of Carlos Fuentes to Sandra Cisneros, Ana Castillo to Octavio Paz, this landmark collection of fiction, essays, and poetry offers an exhilarating new vantage point on our continent–and on the best of contemporary literature.</p>"
143,The Best American Short Plays 2007-2008,Barbara Parisi,1,9781557837493,$18.99,Paperback,Applause Theatre Book Publishers,August 2009,"Performing Arts, Theater",,
144,Postmodern American Fiction: A Norton Anthology,Paula Geyh,1,9780393316988,$18.76,Paperback,"Norton, W. W. & Company, Inc.",September 1997,"Postmodernism - Literary Movements, 20th Century American Literature - Post WWII - Literary Criticism, American Literature Anthologies",704,"It includes works by sixty-eight authors: short fiction, novels, cartoons, graphics,<br>
hypertexts, creative nonfiction, and theoretical writings. This is the first anthology to do full justice to the vast range of American innovation in fiction writing since 1945."
145,Bronx Accent: A Literary and Pictorial History of the Borough,Lloyd Ultan,1,9780813538624,$24.95,Paperback,Rivergate Books,March 2006,"United States History - Northeastern & Middle Atlantic Region, American Literature Anthologies, U.S. Travel - Major Cities, General & Miscellaneous Literature Anthologies, Travel - General & Miscellaneous, U.S. Travel - States, Photography - Travel, Trave",330,"While The Bronx is presently undergoing a renaissance, a mention of this borough often conjures up ""Fort-Apache-the-Bronx"" images of urban blight and crime. Yet for the last three hundred years, and through all its various social and economic transformations, The Bronx has been a major literary center that many prominent writers have called home.
  This comprehensive book captures the Zeitgeist of The Bronx through the eyes of its writers -- both past literary figures and emerging talents. Lloyd Ultan and Barbara Unger place this literature in its historical context and reproduce here one hundred vintage photographs and postcard views that bring the writings to life. The resulting book provides the reader with insights into the kaleidoscopic shifts in Bronx life over the centuries. Filtered through the imaginations of authors of different times, ethnic groups, social classes, and literary styles, the borough of The Bronx emerges not only as a shaper of destinies and lives, but as an important literary mecca.</p>"
146,Native American Songs and Poems: An Anthology,Brian Swann,1,9780486294506,$2.99,Paperback,Dover Publications,September 1996,"Poetry Anthologies, Native North American Peoples - General & Miscellaneous, American Poetry, American Music - General & Miscellaneous, American Literature Anthologies, Native North American Peoples - Authors & Literature, Native North Americans - Music",64,"Wonderful collection of authentic traditional songs and contemporary Indian verse composed by Seminole, Hopi, Navajo, Pima, Arapaho, Paiute, Nootka, other Indian writers and poets. Topics include nature's beauty and rhythms, themes of tradition and continuity, the Indian in contemporary society, much more.<br>"
